,Reviews,Ratings,Sentiment
56,I have taken personal loan through Ujjivan Small Finance .The rate of interest and the processing fee was quite nominal.This loan was sanctioned within 3 to 4 days .The loan process was clearly shared by the agent .I am paying the premium on EMI basis and everything was good to me so far .,5.0,1
57,I have taken personal loan directly through Capital First since got the offer.The rate of interest and the processing fee was very low and the agent gave a clear picture about the loan process.I have paid EMI  for 10 months .This loan was taken for family marriage  purpose.,5.0,1
58,"My personal loan journey started with Jana small Finance Bank .This loan is still active and the loan amount was Rs.50,000 for the tenure of 2 years only. The rate of interest and the processing fee was quite moderate and the loan was sanctioned on exact time .The service was much satisfied and comfortable with the service .",5.0,1
59,"I have taken a personal loan from ICICI Bank and the loan amount was Rs. 3,00,000. The rate of interest was very high 15% and  i opted for 5 years. I pre closed  the loan amount and i paid 5% from outstanding when compare to other bank interest rate was high.",4.0,1
60,"Took my personal loan from Bajaj Finance, once i finished the consumer durable loan here they have provided me a pre-approved loan offer worth of Rs. 1 lakh. They have sanctioned the loan in 2 days, they called me and done the verification. They charged me an interest rate of 12.5%. I'm yet to pay the loan for 1.5 years where the total tenure period of the loan is 36 months.",4.0,1
61,"I have taken personal loan directly through HDFC Bank. The rate of interest and the processing fee was very low .This loan was sanctioned on time and its still active and i have availed this loan for personal use .There is a penalty if I pay the premium on delay.  Overall, I am satisfied with the service .",5.0,1
62,"The rate of interest was very high in Bajaj Finserv and the  processing time was too fast .When i tried to  foreclose this  loan, the rate of interest was very much high and adding extra charges . There was some variations on rate of interest hence am not satisfied.",1.0,0
63,"I have taken a personal loan from INDUSIND Bank and the loan was Rs. 60K. It is a pre approved loan, since have an account with this bank so i got this offer. EMI, i am paying around Rs.2500  and the tenure is 3 years. Their customer service and responsiveness was good.",5.0,1
64,"From INCRED, i have taken a personal loan and the loan amount was Rs. 1.50L. The rate of interest was not sure and emi  need to pay of Rs.8500 for the tenure of 2 years. Documentation was very easy, i uploaded through online and executive came office to collect few papers within a month i received the loan.",5.0,1
65,I have taken personal loan through Tata Capital Ltd .This loan was directly availed and the rate of interest and the processing fee was nominal.I am paying the premium on EMI basis .I have taken this loan for my personal use only.This loan is still alive on my account .,5.0,1
66,I have taken Axis bank personal loan through bank.The rate of interest and the processing fee was nominal and this loan was sanctioned based on my requirement .There was no extra charges for delay payment .The loan process was clearly explained by the agent.I am satisfied with the service.This loan is still active and i am paying on EMI basis.,5.0,1
67,"I have taken a personal loan from TATA CAPITAL LIMITED and the loan amount was Rs. 1,00,000. I need to pay EMI of Rs.3200 with the tenure of 48 months. The customer service was fine. The documentation process was carried out at doorstep and its easy.",4.0,1
68,"I have taken a personal loan from SHUBH and the loan amount was Rs. 92k. The rate of interest was high 24% and i am paying EMI of Rs.5300 with the tenure of  2 years. Documentation was very simple and executive collected then i received the loan within a week, customer service was good.",3.5,0
69,I have taken personal loan directly through HDFC Bank.The rate of interest and the processing fee was very nominal.This loan was sanctioned on time and the process was done on quick basis .This loan is still active and paying the premium on EMI basis. If there is any delay then need to pay penalty of Rs.590.,5.0,1
70,I have taken TATA Capital  bank personal  loan through online.The rate of interest and the processing fee was very nominal .This loan was sanctioned on time and the premium is paid on EMI basis .The service was very good and process was very fast overall satisfied with the service .,4.5,1
71,"I have taken Axis bank personal loan  directly through bank. The rate of interest 11.25% and processing fee was nominal. This loan got sanctioned on time instantly, paperless approval  since have salary account still this loan is active  and paying the premium on EMI. This loan was  availed  for my personal use and the processing time was much  faster.",5.0,1
72,"I am holding an account with SBI for long years hence I got pre approved loan offer from their end and taken a personal loan on one year back. Within 2-3 days they have sanctioned the loan, so far I had paid EMIs on time and I am  going to close the loan by next month. Mobile app is user friendly to access but only interest rate  is high.  EMI need to pay of around 6.5K - 7K.",4.0,1
73,"KOTAK bank is very genuine and on time the amount was sanctioned within 10-15 days. The personal loan taken on 2 months back,  the amount was not enough on that time since for an emergency need taken this loan.  Need to close the loan by 2 years. The  rate of interest is high.  Pre closure is applicable after one year with some charge.",4.0,1
74,The rate of interest and the processing fee is too high on home credit India  finance private limited .This loan was sanctioned on time without any delay. The rate of interest and the processing fee are high.The agent shared  all the information about the loan process. I have uploaded the documents through online and paying the premium through on EMI basis .,3.0,0
75,My personal loan was taken through HDFC Bank through online.The rate of interest and the processing  fee was very nominal .This loan was taken for personal use and the agent gave a clear picture about the loan process.I have submitted the documents as well as uploaded the documents through online.,5.0,1
76,I have taken personal loan from KOTAK bank  through online .There was no difficulties faced until this loan was sanctioned .There was proper callback and follow up from bank end.This loan was availed only for my personal use . This loan was sanctioned on time. I use to pay the premium amount without any delay.,4.0,1
77,I have taken personal loan through HDFC bank .This loan was availed only for personal use .The rate of interest and the processing fee was nominal .I am paying the premium on EMI basis and bank end there was proper callback and follow up as well.The overall service was really smooth and satisfied .,4.0,1
78,I have taken a personal loan through Home Credit India finance private ltd .The loan process was clearly shared by the agent. The rate of interest and the processing fee are high . There was proper callback and follow up hence the process was done on very smooth.,5.0,1
79,I have taken personal loan through Home credit India Finance private limited .This loan was sanctioned on time and the rate of interest and the processing fee was very high .The premium is paid on EMI basis and the loan details was clearly shared by the agent .According to my experience the service was average.,1.5,0
80,"In Paysense, they have not taken any physical documents and  just sent all my documents through online and they have disbursed the loan amount. Rate of interest is high but they have disbursed the amount in one day. Taken the loan amount of Rs. 75,000 and they deducted Rs. 3,500 for processing fee.",4.0,1
81,"They have taken so much of time to sanctioned this loan after submitted the documents also. They have charged me a processing fee of Rs. 5380 which is high when i compared to banks. I required loan amount of Rs. 3 lakhs but they have disbursed the amount of Rs. 1.85 lakhs but they have showed me that approved amount was Rs. 1.95 lakhs. When i asked the same, they said as per the customer norms, i get only this amount only.",4.0,1
82,"SHUBH Loans has offered a personal loan even though I get  low salary they were ready to sanctioned the loan.  But in other bank they said, for my salary they cannot provide the loan.  I bought the loan amount of Rs. 50,000 and they have given me a interest rate of 11%. I'm paying  EMI amount of Rs. 2,753 for the duration of 2 years. The loan amount was credited to my account by  15 days.",5.0,1
83,I have taken HDFC bank persona loan through online.The rate of interest and the processing fee was very nominal .This loan was sanctioned on time and the premium is paid on EMI basis .The service was very good to me and so  far and the process was very fast and satisfied with the service .,5.0,1
84,"When i approached for personal loan, Indusind bank people approached me immediately and the interest rates are reasonable. They have sanctioned the loan in 1 week. I had applied the loan amount of Rs. 5 lakhs but they have sanctioned me around Rs. 2.95 lakhs when i enquired about the same, They said depends on my salary they can provide this amount only. They didn't take any processing fee.",5.0,1
85,"I have received the loan amount of Rs. 6 lakhs from HDFC bank and within a week, they have sanctioned my loan. Documentation process was quite good. I'm satisfied with the interest rate and processing fee. I have selected the duration of 5 years. They do have a part payment and pre-closure facility.",3.0,0
86,My experience is not good with Home Credit because they are charging high interest rate but I'm satisfied with their customer care people. I had a mobile loan with them after that received a call that I'm eligible for a personal loan but the interest rate is very high hence i won't recommend this loan to anyone.,3.0,0
87,"Actually i need some money and felt it will be better if i take a personal loan from HDFC since its my salary account. I have been with this bank from last 2 years. Documentation process was pretty good. Interest rate was somewhat high but  it would be fine, if they decrease in future.",4.5,1
88,"I have taken personal loan directly through Bajaj Finserv.The rate of interest was very high, it was 38% .This loan is still active on my account .The process was clearly shared by the agent . They took 1month time for processing which could have been done at the earliest.",5.0,1
89,I have taken personal loan through directly through Citi bank because rate of interest and the  processing fee was nominal. without any delay got this loan and it was taken for my personal use . Am paying the premium on EMI basis without any delay .,5.0,1
90,I have availed personal loan through Indusind bank online .This was taken only for personal use and this loan was sanctioned on proper time frame. The rate of interest and the processing fee was very nominal. The process was fast and smooth overall i am convenient with the service.,4.0,1
91,I have taken personal loan through HDFC Bank .This loan was sanctioned on time without any hassles.The rate of interest and the processing fee was nominal.I have submitted the documents through the agent.I am paying the premium on EMI basis .Everything was good to me so far and i am satisfied.,4.0,1
92,Chosen my personal loan from Standard Chartered bank because i am having my salary account with them. I bought the loan amount of Rs. 1 lakh and the interest rate were nominal. I have produced all my documents even though I'm having a salary account with them. They have sanctioned my loan in 15 days. I have already finished the loan 5 years before.,5.0,1
93,I have my existing loan in Bank since the loan process is in online hence its easy to apply so that i had applied the personal loan from Incred. Took the loan amount of Rs. 1.45 lakhs and they charged me a interest rate of 32%. I have chosen the duration of 2 years to close this loan. I need to pay the EMI amount of Rs. 8257.,5.0,1
94,"Based on my eligibility, i can apply the personal loan only with Incred so gone for it. The loan amount of Rs. 90000. They haven't informed me about the interest rate and taken 1 week to sanction this loan. I am paying the EMI amount of Rs. 5125. I have availed for the duration of 24 months. Documentation process was good since i have done it through online.",4.0,1
95,My salary is getting credited in HDFC bank thats the main reason for choosing my personal loan from HDFC bank. I applied the loan amount of Rs. 2 lakhs and they charged me a processing fee of Rs. 9200. I have been paying the EMI amount of Rs. 7160 for the duration of 3 years. I have given all my documents even though i'm a existing customer.,5.0,1
96,I applied a personal loan from INCRED through online. The process was good. They offered a loan amount very low and sanctioned by 2-3 days with tenure period of 2 years. The rate of interest is high  more than 15% when compare to other bank. I am not aware about pre closure. They have taken additional charge for payment. EMI need to pay of 3500 rupees.,2.0,0
97,"I have taken this personal loan on 1 year before,  ADITYA BIRLA FINANCE  has provided a high interest rate of 20%. Their service is good. For my personal need I have taken this loan. The processing fee  of 10K was deducted from the loan. The amount of 3L with tenure period of 2 years. There is pre closure option  with less interest after one year.  For cheque bounce have paid 500 rupees on 8 months back and  EMI was around 10K.",1.5,0
98,"TATA CAPITAL has offered the rate of interest is high, though I have taken this loan for my need. I have to close the loan by 4 years. when I applied tenure was only 2 years but during disbursement changed as 4 yeas. The rate of interest of  17%  and  fee was applicable. They have sanctioned the loan by one week. Pre closure is applicable after 6 months. EMI  need to pay of 2,999 rupees.",5.0,1
99,"I have chosen YES bank personal loan to clear my credit card bill. The loan was easily available and i have applied the loan through online. Provided interest rate was very high. I got the interest rate of 14% and i pay the EMI amount of Rs. 4661. I have chosen the duration of 5 years. If they reduced the interest rate, it would be fine.",4.0,1
100,There are some issue with the Kotak Mahindra bank because i cannot pre-close the loan within 1 year. Their interest rates are quite high. I had a requirement of money 1 year before since there was a marriage. My salary account is in kotak Mahindra bank and they have provided instant loan option hence my loan got transferred within half an hour.,3.0,0
101,"It was an easy way to take the loan from HDFC because of the paperless approval thats the reason i have chosen this bank but they have done a physical verification. 1 month before, I had applied this loan and it got rejected hence they have taken some more time to sanctioned this loan.",5.0,1
102,My friend has suggested me to take the personal loan from HDFC. They charged me a huge processing fee and interest rate. The drawback of HDFC personal loan is that they are saying insurance is mandatory hence they are forcing the customer to take the insurance. They took 7 to 8 days to sanction this loan.,3.0,0
103,Actually my salary account is in ICICI and they have given me a pre-approved offer hence they have sanctioned my loan in 2 minutes without collecting any documents. I can do all my service in online but they have provided me a interest rate of 16% hence i have done the pre-closure.,3.0,0
104,Axis bank service is really worst because they have not deduct the first month EMI through ECS hence my cheque not bounced. They have limited branches for loan services and the crowd will be more. I have closed the loan within 6 months by paying some pre-closure charges. Their interest rate is very high which is 22% per annum.,1.0,0
105,"Based on the customer need they have sanctioned the personal loan without deducting the processing fee, the entire amount got credited to my account. Their loan service is really fine. I feel the loan service is best when i compared to others. If they increase their ATM services, it would be fine. They have sanctioned the loan very fast.",5.0,1
106,"On March 2019 I have taken a personal loan from KOTAK Bank. Applied  via net banking so the process was done on easy by 2 days an expected amount was received, the tenure period of 2 years. The rate of interest is nominal. Once I have faced  late payment charges are applicable of 700 rupees. EMI need to pay of  Rs. 3,842.  Pre closure  is avail  after 6 months with some charges.",4.0,1
107,"INCRED has offered a high rate of interest of 28%, though I have applied a personal loan through online. On time I got a call for the process and done on time. But the loan amount was  lower than my expectation. The tenure period of 2 years. I received the amount of  93K only  but I have applied of 1.30L. There is no pre closure option.  EMI need to pay of 5,489 rupees.",4.0,1
108,"INCRED has offered a personal loan  through online.  The rate of interest is bit high of 18%. The loan amount was sanctioned of 60K which is less because I was expecting more than that, within 10 days received the amount. The tenure period of 2 years.",5.0,1
109,"Last August month, I have taken a personal loan from Paysense and the amount of  1.14L with tenure period of 2 years. The rate of interest 16% which is nominal and fee around of 4-5K. I got a message so I have applied a loan direct to them  and within 2 days I received the amount. EMI need to pay of  5K around and pre closure  applicable after 3 months.",5.0,1
110,"The rate of interest is very high approximately of  22% - 23% from TATA CAPITAL  since in need of an emergency taken this loan.  On time , they have sanctioned the amount within   4- 5 days. I approached the amount of  5L but  sanctioned  4L only  with tenure period of 3 years.  After 6 months pre closure is avail without any charge.  EMI need to pay of  Rs. 14, 200.",5.0,1
111,"INDUSIND service is good. The process was done on time so  they  sanctioned the amount within one week. I have provided hard copy documents to banker by manual . The loan amount is sufficient with tenure of  5 years, rate of interest  is average of 10.99%. EMI need to pay of 9K.  Pre closure  option is avail  with some charge of 2-3% and locking period of 1 year.",5.0,1
112,"I got a personal loan offer from HDFC through online. The verification process done on smooth and they have sanctioned the amount within 10 days. The amount was sufficient with tenure period of 4 years.The rate of interest  is high when compared to my requirement.  I am not aware about pre closure option.  EMI need to pay of 5,095 rupees.",4.0,1
113,"I'm not getting the loan from Bank end because at that time my credit score is low thats the reason i have bought a personal loan from Shubh Loan. They have offered me a interest rate of 32% per year. Taken the loan amount of Rs. 1 lakh for the duration of 1 year. If they reduced the interest rate and extend the tenure period, it will be useful for others.",4.0,1
114,TATA capital approach was fine and they have changed the tenure period as per my convenience. They came to my available time for collecting the documents because of these features i got the loan from TATA Capital. I got the loan in 1 week and the interest rate was nominal. I pay the EMI month of Rs. 8256 for the loan amount of Rs. 2.75 lakhs.,5.0,1
115,My friend advised me to take the personal loan from TATA Capital. I bought this loan for my sister's marriage and i am satisfied with the interest rate for a loan amount of Rs. 3 lakhs after deduction i have received amount of 2.92L. I have chosen the duration of 48 months.,5.0,1
116,"Based on my profile, HDFC have provided me a personal loan and my experience also good but the one thing is their interest rate is so high but the process was ease. I have taken the loan amount of Rs. 1.50 lakhs and they are not providing any part payment and pre-closure facility.  They have taken a processing fee of Rs. 7000.",4.0,1
117,"SHUBH  Loan service is good.  I have received a call on time from their end. The amount was sufficient with tenure period of one  year. The rate of interest is too much high of 32% that is only drawback and  fee of 2.5%. There is no pre closure option. On  first EMI, there was an additional amount charge of 350 rupees later they haven't revert as well and helpless. EMI need to pay of  6,598 rupees.",4.0,1
118,"I have a savings account with SBI so when i had an requirement they have offered me a personal loan quickly.  On the spot, they have sanctioned my loan without any documents. I have selected the duration of 1 year to close this loan. Taken the loan amount of Rs. 60000 and i pay the EMI of Rs. 5000 every month. Its a interest free loan.",4.0,1
119,"I have taken a personal loan from RBL Bank and the loan amount was Rs. 1.2L,  still 4 months left to complete. I have opted for the  tenure of 24 months with EMI of Rs.6300 and i received this loan within 24 hours. Pre closure charge is there but i am not sure, customer service was good.",5.0,1
